DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-27 05:45:00,2021-11-27,05:45:00,5,3,0,0.1495
2021-11-27 06:00:00,2021-11-27,06:00:00,5,3,0,0.144
2021-11-27 06:15:00,2021-11-27,06:15:00,5,3,0,0.1619999999999999
2021-11-27 06:30:00,2021-11-27,06:30:00,5,3,0,0.18
2021-11-27 06:45:00,2021-11-27,06:45:00,5,3,0,0.3215
2021-11-27 07:00:00,2021-11-27,07:00:00,5,3,0,0.463
2021-11-27 07:15:00,2021-11-27,07:15:00,5,3,0,0.3395
2021-11-27 07:30:00,2021-11-27,07:30:00,5,3,0,0.216
2021-11-27 07:45:00,2021-11-27,07:45:00,5,3,1,0.2019999999999999
2021-11-27 08:00:00,2021-11-27,08:00:00,5,3,1,0.188
2021-11-27 08:15:00,2021-11-27,08:15:00,5,3,1,0.1585
2021-11-27 08:30:00,2021-11-27,08:30:00,5,3,1,0.129
2021-11-27 08:45:00,2021-11-27,08:45:00,5,3,1,0.1265
2021-11-27 09:00:00,2021-11-27,09:00:00,5,3,1,0.124
2021-11-27 09:15:00,2021-11-27,09:15:00,5,3,1,0.1225
2021-11-27 09:30:00,2021-11-27,09:30:00,5,3,1,0.121
2021-11-27 09:45:00,2021-11-27,09:45:00,5,3,1,0.1255
2021-11-27 10:00:00,2021-11-27,10:00:00,5,3,1,0.13
2021-11-27 10:15:00,2021-11-27,10:15:00,5,3,1,0.139
2021-11-27 10:30:00,2021-11-27,10:30:00,5,3,1,0.148
2021-11-27 10:45:00,2021-11-27,10:45:00,5,3,1,0.187
